nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1,-1.000000000E+01,-2.000000000E+01, 9.812631739E+00, 3.350000000E+01, 0.000000000E+00
         2,-8.275861740E+00,-2.000000000E+01, 9.006213700E+00, 3.352786617E+01, 0.000000000E+00
         3,-6.551723957E+00,-2.000000000E+01, 7.075211799E+00, 3.358061102E+01, 0.000000000E+00
         4,-4.827586174E+00,-2.000000000E+01, 3.730491003E+00, 3.368185963E+01, 0.000000000E+00
         5,-3.103448391E+00,-2.000000000E+01,-2.140132903E-01, 3.380467666E+01, 0.000000000E+00
         6,-1.379310369E+00,-2.000000000E+01,-5.062107134E+00, 3.394222095E+01, 0.000000000E+00
         7, 3.448275924E-01,-2.000000000E+01,-9.854334684E+00, 3.409215951E+01, 0.000000000E+00
         8, 2.068965435E+00,-2.000000000E+01,-1.470294904E+01, 3.423795929E+01, 0.000000000E+00
         9, 3.793103456E+00,-2.000000000E+01,-1.894295625E+01, 3.436250074E+01, 0.000000000E+00
        10, 5.517241478E+00,-2.000000000E+01,-2.229765370E+01, 3.445975604E+01, 0.000000000E+00
        11, 7.241379261E+00,-2.000000000E+01,-2.460561265E+01, 3.453282086E+01, 0.000000000E+00
        12, 8.965517044E+00,-2.000000000E+01,-2.591610423E+01, 3.458045038E+01, 0.000000000E+00
        13, 1.068965530E+01,-2.000000000E+01,-2.645351913E+01, 3.460009250E+01, 0.000000000E+00
        14, 1.241379356E+01,-2.000000000E+01,-2.621541201E+01, 3.459882902E+01, 0.000000000E+00
        15, 1.413793087E+01,-2.000000000E+01,-2.522952396E+01, 3.457456979E+01, 0.000000000E+00
        16, 1.586206913E+01,-2.000000000E+01,-2.378377608E+01, 3.453516363E+01, 0.000000000E+00
        17, 1.758620644E+01,-2.000000000E+01,-2.203108037E+01, 3.449320456E+01, 0.000000000E+00
        18, 1.931034470E+01,-2.000000000E+01,-2.000397139E+01, 3.444345527E+01, 0.000000000E+00
        19, 2.103448296E+01,-2.000000000E+01,-1.801454299E+01, 3.439485180E+01, 0.000000000E+00
        20, 2.275862122E+01,-2.000000000E+01,-1.598890349E+01, 3.434522574E+01, 0.000000000E+00
        21, 2.448275948E+01,-2.000000000E+01,-1.401911599E+01, 3.429644675E+01, 0.000000000E+00
        22, 2.620689583E+01,-2.000000000E+01,-1.211188988E+01, 3.425486454E+01, 0.000000000E+00
        23, 2.793103409E+01,-2.000000000E+01,-1.041655519E+01, 3.422133808E+01, 0.000000000E+00
        24, 2.965517235E+01,-2.000000000E+01,-8.631185536E+00, 3.418985959E+01, 0.000000000E+00
        25, 3.137931061E+01,-2.000000000E+01,-6.986085502E+00, 3.415632164E+01, 0.000000000E+00
        26, 3.310344696E+01,-2.000000000E+01,-5.616714105E+00, 3.413112607E+01, 0.000000000E+00
        27, 3.482758713E+01,-2.000000000E+01,-4.088347730E+00, 3.410833021E+01, 0.000000000E+00
        28, 3.655172348E+01,-2.000000000E+01,-2.748405253E+00, 3.408790065E+01, 0.000000000E+00
