nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1,-1.000000000E+01,-2.000000000E+01, 9.937516637E+00, 3.200000000E+01, 0.000000000E+00
         2,-8.275861740E+00,-2.000000000E+01, 9.201152922E+00, 3.202666107E+01, 0.000000000E+00
         3,-6.551723957E+00,-2.000000000E+01, 7.437823035E+00, 3.207710279E+01, 0.000000000E+00
         4,-4.827586174E+00,-2.000000000E+01, 4.381841962E+00, 3.217404791E+01, 0.000000000E+00
         5,-3.103448391E+00,-2.000000000E+01, 7.761474843E-01, 3.229167980E+01, 0.000000000E+00
         6,-1.379310369E+00,-2.000000000E+01,-3.656959661E+00, 3.242344028E+01, 0.000000000E+00
         7, 3.448275924E-01,-2.000000000E+01,-8.040115514E+00, 3.256709777E+01, 0.000000000E+00
         8, 2.068965435E+00,-2.000000000E+01,-1.248148131E+01, 3.270698573E+01, 0.000000000E+00
         9, 3.793103456E+00,-2.000000000E+01,-1.637370490E+01, 3.282681659E+01, 0.000000000E+00
        10, 5.517241478E+00,-2.000000000E+01,-1.946613309E+01, 3.292085396E+01, 0.000000000E+00
        11, 7.241379261E+00,-2.000000000E+01,-2.161097091E+01, 3.299210085E+01, 0.000000000E+00
        12, 8.965517044E+00,-2.000000000E+01,-2.286044589E+01, 3.303967565E+01, 0.000000000E+00
        13, 1.068965530E+01,-2.000000000E+01,-2.341355600E+01, 3.306034207E+01, 0.000000000E+00
        14, 1.241379356E+01,-2.000000000E+01,-2.326255657E+01, 3.306144907E+01, 0.000000000E+00
        15, 1.413793087E+01,-2.000000000E+01,-2.244229656E+01, 3.304144549E+01, 0.000000000E+00
        16, 1.586206913E+01,-2.000000000E+01,-2.120358380E+01, 3.300666858E+01, 0.000000000E+00
        17, 1.758620644E+01,-2.000000000E+01,-1.968080305E+01, 3.296935858E+01, 0.000000000E+00
        18, 1.931034470E+01,-2.000000000E+01,-1.790662414E+01, 3.292451812E+01, 0.000000000E+00
        19, 2.103448296E+01,-2.000000000E+01,-1.615749242E+01, 3.288049420E+01, 0.000000000E+00
        20, 2.275862122E+01,-2.000000000E+01,-1.437318883E+01, 3.283517323E+01, 0.000000000E+00
        21, 2.448275948E+01,-2.000000000E+01,-1.261999458E+01, 3.279058511E+01, 0.000000000E+00
        22, 2.620689583E+01,-2.000000000E+01,-1.091874865E+01, 3.275270929E+01, 0.000000000E+00
        23, 2.793103409E+01,-2.000000000E+01,-9.410137265E+00, 3.272214854E+01, 0.000000000E+00
        24, 2.965517235E+01,-2.000000000E+01,-7.804807967E+00, 3.269330035E+01, 0.000000000E+00
        25, 3.137931061E+01,-2.000000000E+01,-6.325944548E+00, 3.266215739E+01, 0.000000000E+00
        26, 3.310344696E+01,-2.000000000E+01,-5.097181090E+00, 3.263886905E+01, 0.000000000E+00
        27, 3.482758713E+01,-2.000000000E+01,-3.708832949E+00, 3.261779237E+01, 0.000000000E+00
        28, 3.655172348E+01,-2.000000000E+01,-2.490617560E+00, 3.259880018E+01, 0.000000000E+00
        29, 3.827586365E+01,-2.000000000E+01,-1.309434768E+00, 3.258286877E+01, 0.000000000E+00
        30, 4.000000000E+01,-2.000000000E+01,-3.314450113E-01, 3.257376602E+01, 0.000000000E+00
        31, 2.688087654E+01,-1.912092590E+01,-1.026726256E+01, 3.274487339E+01, 1.807357440E-02
        32, 2.570874596E+01,-1.911762238E+01,-1.136669118E+01, 3.276954821E+01, 1.914222592E-02
        33, 1.065971851E+01,-1.905763054E+01,-2.364339676E+01, 3.307199906E+01,-4.657820576E-03
        34, 3.223234940E+01,-1.902348328E+01,-5.661447277E+00, 3.265686046E+01, 1.431611594E-02
        35, 3.632635117E+01,-1.898240852E+01,-2.632380519E+00, 3.260883405E+01, 1.148251979E-02
        36,-8.439105034E+00,-1.896893883E+01, 9.689783244E+00, 3.202165913E+01,-2.183044361E-02
        37, 1.504807377E+01,-1.896084785E+01,-2.190018004E+01, 3.303417065E+01, 2.011216866E-02
        38, 6.240347862E+00,-1.892391968E+01,-2.073828120E+01, 3.297419720E+01,-4.590809850E-02
        39,-5.172211528E-01,-1.886991882E+01,-5.924530866E+00, 3.251393578E+01,-9.632732880E-02
        40, 2.344727135E+01,-1.886930466E+01,-1.368131829E+01, 3.282837323E+01, 2.751514887E-02
        41,-3.581001759E+00,-1.882642365E+01, 2.070176085E+00, 3.226818791E+01,-8.595652015E-02
