nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1,-1.000000000E+01,-2.000000000E+01, 8.692096933E+00, 3.650000000E+01, 0.000000000E+00
         2,-8.275861740E+00,-2.000000000E+01, 7.736307415E+00, 3.653026595E+01, 0.000000000E+00
         3,-6.551723957E+00,-2.000000000E+01, 5.447179531E+00, 3.658761680E+01, 0.000000000E+00
         4,-4.827586174E+00,-2.000000000E+01, 1.486391099E+00, 3.669745266E+01, 0.000000000E+00
         5,-3.103448391E+00,-2.000000000E+01,-3.180251785E+00, 3.683060320E+01, 0.000000000E+00
         6,-1.379310369E+00,-2.000000000E+01,-8.911850965E+00, 3.697964828E+01, 0.000000000E+00
         7, 3.448275924E-01,-2.000000000E+01,-1.457371980E+01, 3.714202621E+01, 0.000000000E+00
         8, 2.068965435E+00,-2.000000000E+01,-2.028416474E+01, 3.729945053E+01, 0.000000000E+00
         9, 3.793103456E+00,-2.000000000E+01,-2.525515397E+01, 3.743312065E+01, 0.000000000E+00
        10, 5.517241478E+00,-2.000000000E+01,-2.915308934E+01, 3.753638859E+01, 0.000000000E+00
        11, 7.241379261E+00,-2.000000000E+01,-3.178704555E+01, 3.761249351E+01, 0.000000000E+00
        12, 8.965517044E+00,-2.000000000E+01,-3.319414705E+01, 3.765965012E+01, 0.000000000E+00
        13, 1.068965530E+01,-2.000000000E+01,-3.365746956E+01, 3.767681958E+01, 0.000000000E+00
        14, 1.241379356E+01,-2.000000000E+01,-3.317025025E+01, 3.766927341E+01, 0.000000000E+00
        15, 1.413793087E+01,-2.000000000E+01,-3.176636355E+01, 3.763430214E+01, 0.000000000E+00
        16, 1.586206913E+01,-2.000000000E+01,-2.983155096E+01, 3.758375481E+01, 0.000000000E+00
        17, 1.758620644E+01,-2.000000000E+01,-2.752829366E+01, 3.753025632E+01, 0.000000000E+00
        18, 1.931034470E+01,-2.000000000E+01,-2.489573767E+01, 3.746831292E+01, 0.000000000E+00
        19, 2.103448296E+01,-2.000000000E+01,-2.233159056E+01, 3.740826156E+01, 0.000000000E+00
        20, 2.275862122E+01,-2.000000000E+01,-1.972920615E+01, 3.734774147E+01, 0.000000000E+00
        21, 2.448275948E+01,-2.000000000E+01,-1.725018026E+01, 3.728814817E+01, 0.000000000E+00
        22, 2.620689583E+01,-2.000000000E+01,-1.485696363E+01, 3.723680434E+01, 0.000000000E+00
        23, 2.793103409E+01,-2.000000000E+01,-1.272597692E+01, 3.719514899E+01, 0.000000000E+00
        24, 2.965517235E+01,-2.000000000E+01,-1.051928485E+01, 3.715561669E+01, 0.000000000E+00
        25, 3.137931061E+01,-2.000000000E+01,-8.483413838E+00, 3.711477254E+01, 0.000000000E+00
