nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1,-1.000000000E+01,-2.000000000E+01, 3.070017645E+00, 6.500000000E+00, 0.000000000E+00
         2,-8.275861740E+00,-2.000000000E+01, 3.016037024E+00, 6.509941549E+00, 0.000000000E+00
         3,-6.551723957E+00,-2.000000000E+01, 2.881673611E+00, 6.530287233E+00, 0.000000000E+00
         4,-4.827586174E+00,-2.000000000E+01, 2.634451084E+00, 6.571504801E+00, 0.000000000E+00
         5,-3.103448391E+00,-2.000000000E+01, 2.329179594E+00, 6.622898626E+00, 0.000000000E+00
         6,-1.379310369E+00,-2.000000000E+01, 1.939122199E+00, 6.681572225E+00, 0.000000000E+00
         7, 3.448275924E-01,-2.000000000E+01, 1.540862519E+00, 6.746455298E+00, 0.000000000E+00
         8, 2.068965435E+00,-2.000000000E+01, 1.101426564E+00, 6.814084932E+00, 0.000000000E+00
         9, 3.793103456E+00,-2.000000000E+01, 6.796232115E-01, 6.879078165E+00, 0.000000000E+00
        10, 5.517241478E+00,-2.000000000E+01, 2.974659874E-01, 6.937500926E+00, 0.000000000E+00
        11, 7.241379261E+00,-2.000000000E+01,-2.499946107E-02, 6.990037843E+00, 0.000000000E+00
        12, 8.965517044E+00,-2.000000000E+01,-3.143772649E-01, 7.039219230E+00, 0.000000000E+00
        13, 1.068965530E+01,-2.000000000E+01,-5.394517222E-01, 7.074952843E+00, 0.000000000E+00
        14, 1.241379356E+01,-2.000000000E+01,-7.028603026E-01, 7.103702119E+00, 0.000000000E+00
        15, 1.413793087E+01,-2.000000000E+01,-8.245615463E-01, 7.128712060E+00, 0.000000000E+00
        16, 1.586206913E+01,-2.000000000E+01,-8.869657333E-01, 7.142994920E+00, 0.000000000E+00
        17, 1.758620644E+01,-2.000000000E+01,-9.152367619E-01, 7.154404074E+00, 0.000000000E+00
        18, 1.931034470E+01,-2.000000000E+01,-9.066801561E-01, 7.161269281E+00, 0.000000000E+00
        19, 2.103448296E+01,-2.000000000E+01,-8.799725654E-01, 7.164642960E+00, 0.000000000E+00
        20, 2.275862122E+01,-2.000000000E+01,-8.338299968E-01, 7.164224294E+00, 0.000000000E+00
        21, 2.448275948E+01,-2.000000000E+01,-7.661638646E-01, 7.161543632E+00, 0.000000000E+00
