nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1,-1.000000000E+01,-2.000000000E+01, 8.429904191E+00, 1.950000000E+01, 0.000000000E+00
         2,-8.275861740E+00,-2.000000000E+01, 8.139760994E+00, 1.951740830E+01, 0.000000000E+00
         3,-6.551723957E+00,-2.000000000E+01, 7.442981819E+00, 1.955037650E+01, 0.000000000E+00
         4,-4.827586174E+00,-2.000000000E+01, 6.222376566E+00, 1.961478974E+01, 0.000000000E+00
         5,-3.103448391E+00,-2.000000000E+01, 4.769203458E+00, 1.969345034E+01, 0.000000000E+00
         6,-1.379310369E+00,-2.000000000E+01, 2.966870697E+00, 1.978211331E+01, 0.000000000E+00
         7, 3.448275924E-01,-2.000000000E+01, 1.171202444E+00, 1.987934160E+01, 0.000000000E+00
         8, 2.068965435E+00,-2.000000000E+01,-6.935838520E-01, 1.997612618E+01, 0.000000000E+00
         9, 3.793103456E+00,-2.000000000E+01,-2.380534563E+00, 2.006239328E+01, 0.000000000E+00
        10, 5.517241478E+00,-2.000000000E+01,-3.793482961E+00, 2.013419751E+01, 0.000000000E+00
        11, 7.241379261E+00,-2.000000000E+01,-4.863873568E+00, 2.019356933E+01, 0.000000000E+00
        12, 8.965517044E+00,-2.000000000E+01,-5.638240674E+00, 2.024090428E+01, 0.000000000E+00
        13, 1.068965530E+01,-2.000000000E+01,-6.159623876E+00, 2.026994679E+01, 0.000000000E+00
        14, 1.241379356E+01,-2.000000000E+01,-6.420988268E+00, 2.028859443E+01, 0.000000000E+00
        15, 1.413793087E+01,-2.000000000E+01,-6.444016859E+00, 2.029730853E+01, 0.000000000E+00
        16, 1.586206913E+01,-2.000000000E+01,-6.288601417E+00, 2.029416987E+01, 0.000000000E+00
        17, 1.758620644E+01,-2.000000000E+01,-6.014368846E+00, 2.028870883E+01, 0.000000000E+00
        18, 1.931034470E+01,-2.000000000E+01,-5.618758307E+00, 2.027766945E+01, 0.000000000E+00
        19, 2.103448296E+01,-2.000000000E+01,-5.174953546E+00, 2.026518289E+01, 0.000000000E+00
        20, 2.275862122E+01,-2.000000000E+01,-4.703510714E+00, 2.025025976E+01, 0.000000000E+00
        21, 2.448275948E+01,-2.000000000E+01,-4.201624822E+00, 2.023436392E+01, 0.000000000E+00
        22, 2.620689583E+01,-2.000000000E+01,-3.689916547E+00, 2.022048171E+01, 0.000000000E+00
        23, 2.793103409E+01,-2.000000000E+01,-3.234168562E+00, 2.020984785E+01, 0.000000000E+00
        24, 2.965517235E+01,-2.000000000E+01,-2.703173338E+00, 2.019904190E+01, 0.000000000E+00
        25, 3.137931061E+01,-2.000000000E+01,-2.213949993E+00, 2.018484405E+01, 0.000000000E+00
        26, 3.310344696E+01,-2.000000000E+01,-1.805674083E+00, 2.017466485E+01, 0.000000000E+00
        27, 3.482758713E+01,-2.000000000E+01,-1.312389790E+00, 2.016507436E+01, 0.000000000E+00
        28, 3.655172348E+01,-2.000000000E+01,-8.828687848E-01, 2.015567762E+01, 0.000000000E+00
        29, 3.827586365E+01,-2.000000000E+01,-4.695239700E-01, 2.014747810E+01, 0.000000000E+00
        30, 4.000000000E+01,-2.000000000E+01,-1.197759055E-01, 2.014243769E+01, 0.000000000E+00
        31, 2.688087654E+01,-1.912092590E+01,-3.495129599E+00, 2.022096746E+01, 6.941735336E-03
        32, 2.570874596E+01,-1.911762238E+01,-3.825950757E+00, 2.022999485E+01, 7.133704534E-03
        33, 1.065971851E+01,-1.905763054E+01,-6.244034441E+00, 2.027872572E+01,-1.300168548E-02
        34, 3.223234940E+01,-1.902348328E+01,-1.997933680E+00, 2.018499546E+01, 6.155876867E-03
        35, 3.632635117E+01,-1.898240852E+01,-9.368774075E-01, 2.016217727E+01, 5.713199168E-03
        36,-8.439105034E+00,-1.896893883E+01, 8.336059873E+00, 1.951430997E+01,-1.414047525E-02
        37, 1.504807377E+01,-1.896084785E+01,-6.409874376E+00, 2.030408047E+01, 8.827383932E-04
        38, 6.240347862E+00,-1.892391968E+01,-4.372971095E+00, 2.017368372E+01,-3.842275888E-02
        39,-5.172211528E-01,-1.886991882E+01, 2.047751117E+00, 1.984199923E+01,-6.522778557E-02
        40, 2.344727135E+01,-1.886930466E+01,-4.522336512E+00, 2.025273710E+01, 8.981849690E-03
        41,-3.581001759E+00,-1.882642365E+01, 5.294108603E+00, 1.967688274E+01,-5.724725155E-02
        42, 1.655527496E+01,-1.881643867E+01,-6.219106910E+00, 2.030324546E+01, 4.353157694E-03
        43, 4.681884766E+00,-1.873410606E+01,-3.236497936E+00, 2.011590543E+01,-5.481940598E-02
        44, 3.091585732E+01,-1.869906235E+01,-2.339733479E+00, 2.019771970E+01, 8.412011455E-03
        45, 1.824869728E+01,-1.866976166E+01,-5.891846667E+00, 2.029766399E+01, 7.608448081E-03
        46, 3.888160324E+01,-1.861947632E+01,-2.912454104E-01, 2.015302573E+01, 5.247580552E-03
        47, 2.963801861E+00,-1.861654663E+01,-1.680373455E+00, 2.003660044E+01,-6.925743468E-02
        48, 3.353791046E+01,-1.860749054E+01,-1.665351187E+00, 2.018322813E+01, 8.166871937E-03
        49, 1.998884201E+01,-1.860685921E+01,-5.477942705E+00, 2.028603100E+01, 9.887781927E-03
        50,-2.065884590E+00,-1.845661926E+01, 3.778312679E+00, 1.976119017E+01,-8.550723325E-02
        51, 2.809185028E+01,-1.844211006E+01,-3.155766239E+00, 2.022172342E+01, 1.137039503E-02
        52, 1.060077071E+00,-1.842178726E+01, 3.191344718E-01, 1.993769469E+01,-8.718121383E-02
        53,-5.929559708E+00,-1.841862106E+01, 7.302595652E+00, 1.957637253E+01,-5.261295903E-02
        54, 2.185309792E+01,-1.841635323E+01,-4.965788617E+00, 2.027379087E+01, 1.282480678E-02
        55, 2.477992058E+01,-1.841446114E+01,-4.114874556E+00, 2.024739938E+01, 1.260893961E-02
        56,-7.270661831E+00,-1.839252853E+01, 8.072269253E+00, 1.953598554E+01,-3.698105243E-02
        57, 9.334493637E+00,-1.837192345E+01,-5.981973272E+00, 2.026952120E+01,-3.279137057E-02
        58, 1.189736176E+01,-1.834807396E+01,-6.529642700E+00, 2.030512812E+01,-1.459857254E-02
        59, 3.491258621E+01,-1.833026505E+01,-1.301407359E+00, 2.017840861E+01, 9.373920173E-03
        60, 1.358120537E+01,-1.832011414E+01,-6.574033629E+00, 2.031627616E+01,-4.903873802E-03
        61, 2.961786652E+01,-1.826012993E+01,-2.712392455E+00, 2.021118525E+01, 1.141073403E-02
        62, 7.685947418E+00,-1.825920105E+01,-5.314037140E+00, 2.023509447E+01,-5.032337865E-02
        63,-1.000000000E+01,-1.814569283E+01, 8.842762343E+00, 1.950000000E+01, 0.000000000E+00
        64, 3.750472260E+01,-1.811868095E+01,-6.390259618E-01, 2.016825881E+01, 8.868567141E-03
        65, 2.631773186E+01,-1.806191635E+01,-3.652639301E+00, 2.024086008E+01, 1.557236125E-02
        66,-4.570134640E+00,-1.802813339E+01, 6.303725584E+00, 1.963769740E+01,-8.687152131E-02
        67, 4.000000000E+01,-1.800000000E+01, 0.000000000E+00, 2.015928179E+01, 8.754237127E-03
        68, 1.532883930E+01,-1.764900589E+01,-6.485164150E+00, 2.033120088E+01, 4.061799796E-03
        69, 3.223038101E+01,-1.763749695E+01,-1.997051818E+00, 2.020626733E+01, 1.491212797E-02
        70,-3.335702181E+00,-1.753531075E+01, 5.235660204E+00, 1.970475599E+01,-1.256096246E-01
        71, 1.060112476E+01,-1.750579643E+01,-6.509290782E+00, 2.031454545E+01,-3.502833492E-02
        72, 5.794167042E+00,-1.749589157E+01,-4.323364919E+00, 2.019406327E+01,-9.525591884E-02
        73,-5.491465330E-01,-1.746159554E+01, 2.073546311E+00, 1.986361900E+01,-1.450807646E-01
        74, 2.345230675E+01,-1.741854668E+01,-4.510758599E+00, 2.027930716E+01, 2.234139399E-02
        75, 1.710820961E+01,-1.739478683E+01,-6.206501682E+00, 2.033132952E+01, 1.247751633E-02
        76, 3.586927414E+01,-1.737919617E+01,-1.052449826E+00, 2.019120433E+01, 1.432362380E-02
        77, 2.050743866E+01,-1.728238678E+01,-5.375516508E+00, 2.030846386E+01, 2.221695669E-02
        78, 2.892562103E+01,-1.723182106E+01,-2.899586592E+00, 2.023778589E+01, 1.980239409E-02
        79, 1.894330597E+01,-1.720048714E+01,-5.795236761E+00, 2.032474888E+01, 2.013300111E-02
        80,-8.535434723E+00,-1.718964386E+01, 8.990838080E+00, 1.951401886E+01,-3.863864120E-02
        81, 4.019903183E+00,-1.718399429E+01,-2.961698926E+00, 2.012967621E+01,-1.311980131E-01
        82, 2.281647682E+00,-1.710684776E+01,-1.183633062E+00, 2.004071819E+01,-1.543402344E-01
        83,-6.843723774E+00,-1.706924057E+01, 8.300511965E+00, 1.955330112E+01,-8.227649304E-02
        84,-5.513527870E+00,-1.702182961E+01, 7.398746001E+00, 1.960142498E+01,-1.157504358E-01
        85, 3.862742996E+01,-1.697869873E+01,-3.510870045E-01, 2.018673247E+01, 1.490935952E-02
        86, 3.050083160E+01,-1.692765427E+01,-2.457850531E+00, 2.023561220E+01, 2.014966914E-02
        87, 8.276641369E-01,-1.689760399E+01, 4.306679757E-01, 1.996077464E+01,-1.760851944E-01
