nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1,-1.000000000E+01,-2.000000000E+01, 9.475489832E+00, 2.400000000E+01, 0.000000000E+00
         2,-8.275861740E+00,-2.000000000E+01, 9.052153328E+00, 2.402055286E+01, 0.000000000E+00
         3,-6.551723957E+00,-2.000000000E+01, 8.037636602E+00, 2.405938582E+01, 0.000000000E+00
         4,-4.827586174E+00,-2.000000000E+01, 6.270031839E+00, 2.413470281E+01, 0.000000000E+00
         5,-3.103448391E+00,-2.000000000E+01, 4.175134520E+00, 2.422636661E+01, 0.000000000E+00
         6,-1.379310369E+00,-2.000000000E+01, 1.589281622E+00, 2.432931550E+01, 0.000000000E+00
         7, 3.448275924E-01,-2.000000000E+01,-9.762315320E-01, 2.444184810E+01, 0.000000000E+00
         8, 2.068965435E+00,-2.000000000E+01,-3.608617029E+00, 2.455269412E+01, 0.000000000E+00
         9, 3.793103456E+00,-2.000000000E+01,-5.954899885E+00, 2.464969857E+01, 0.000000000E+00
        10, 5.517241478E+00,-2.000000000E+01,-7.874823509E+00, 2.472840674E+01, 0.000000000E+00
        11, 7.241379261E+00,-2.000000000E+01,-9.277551980E+00, 2.479126567E+01, 0.000000000E+00
        12, 8.965517044E+00,-2.000000000E+01,-1.021780611E+01, 2.483854006E+01, 0.000000000E+00
        13, 1.068965530E+01,-2.000000000E+01,-1.078210384E+01, 2.486458895E+01, 0.000000000E+00
        14, 1.241379356E+01,-2.000000000E+01,-1.095416870E+01, 2.487672345E+01, 0.000000000E+00
        15, 1.413793087E+01,-2.000000000E+01,-1.077603497E+01, 2.487496612E+01, 0.000000000E+00
        16, 1.586206913E+01,-2.000000000E+01,-1.033387188E+01, 2.486164955E+01, 0.000000000E+00
        17, 1.758620644E+01,-2.000000000E+01,-9.726792333E+00, 2.484733779E+01, 0.000000000E+00
        18, 1.931034470E+01,-2.000000000E+01,-8.975551438E+00, 2.482597475E+01, 0.000000000E+00
        19, 2.103448296E+01,-2.000000000E+01,-8.190915827E+00, 2.480356131E+01, 0.000000000E+00
        20, 2.275862122E+01,-2.000000000E+01,-7.393720192E+00, 2.477910832E+01, 0.000000000E+00
        21, 2.448275948E+01,-2.000000000E+01,-6.549501365E+00, 2.475454531E+01, 0.000000000E+00
        22, 2.620689583E+01,-2.000000000E+01,-5.706708594E+00, 2.473388977E+01, 0.000000000E+00
        23, 2.793103409E+01,-2.000000000E+01,-4.971412248E+00, 2.471753501E+01, 0.000000000E+00
        24, 2.965517235E+01,-2.000000000E+01,-4.139617358E+00, 2.470167182E+01, 0.000000000E+00
        25, 3.137931061E+01,-2.000000000E+01,-3.379122590E+00, 2.468250433E+01, 0.000000000E+00
        26, 3.310344696E+01,-2.000000000E+01,-2.744487256E+00, 2.466859991E+01, 0.000000000E+00
        27, 3.482758713E+01,-2.000000000E+01,-1.994617438E+00, 2.465584223E+01, 0.000000000E+00
        28, 3.655172348E+01,-2.000000000E+01,-1.340976212E+00, 2.464372915E+01, 0.000000000E+00
        29, 3.827586365E+01,-2.000000000E+01,-7.087275701E-01, 2.463327336E+01, 0.000000000E+00
        30, 4.000000000E+01,-2.000000000E+01,-1.791711529E-01, 2.462697951E+01, 0.000000000E+00
        31, 2.688087654E+01,-1.912092590E+01,-5.394694006E+00, 2.473239961E+01, 1.018797666E-02
        32, 2.570874596E+01,-1.911762238E+01,-5.926024258E+00, 2.474585050E+01, 1.053627559E-02
        33, 1.065971851E+01,-1.905763054E+01,-1.090473163E+01, 2.487438072E+01,-1.025799629E-02
        34, 3.223234940E+01,-1.902348328E+01,-3.040659433E+00, 2.468147373E+01, 8.456928080E-03
        35, 3.632635117E+01,-1.898240852E+01,-1.421241466E+00, 2.465132537E+01, 7.393865514E-03
        36,-8.439105034E+00,-1.896893883E+01, 9.336039328E+00, 2.401679142E+01,-1.674059842E-02
        37, 1.504807377E+01,-1.896084785E+01,-1.060762854E+01, 2.487859708E+01, 6.477539533E-03
        38, 6.240347862E+00,-1.892391968E+01,-8.662637759E+00, 2.477232323E+01,-4.061320265E-02
        39,-5.172211528E-01,-1.886991882E+01, 2.688060793E-01, 2.439940799E+01,-7.547818859E-02
        40, 2.344727135E+01,-1.886930466E+01,-7.073924067E+00, 2.477978107E+01, 1.430544437E-02
        41,-3.581001759E+00,-1.882642365E+01, 4.928895982E+00, 2.420756396E+01,-6.682964415E-02
        42, 1.655527496E+01,-1.881643867E+01,-1.014685362E+01, 2.486924797E+01, 1.106048018E-02
        43, 4.681884766E+00,-1.873410606E+01,-7.145287777E+00, 2.471042435E+01,-6.019539616E-02
        44, 3.091585732E+01,-1.869906235E+01,-3.572108560E+00, 2.469793985E+01, 1.166571927E-02
        45, 1.824869728E+01,-1.866976166E+01,-9.484468712E+00, 2.485406594E+01, 1.558470722E-02
        46, 3.888160324E+01,-1.861947632E+01,-4.393369570E-01, 2.463923466E+01, 6.564776359E-03
        47, 2.963801861E+00,-1.861654663E+01,-5.004754910E+00, 2.462241999E+01,-7.797262091E-02
        48, 3.353791046E+01,-1.860749054E+01,-2.530547862E+00, 2.467796148E+01, 1.091206398E-02
        49, 1.998884201E+01,-1.860685921E+01,-8.710932715E+00, 2.483224862E+01, 1.806474720E-02
        50,-2.065884590E+00,-1.845661926E+01, 2.744529205E+00, 2.430604639E+01,-9.948721420E-02
        51, 2.809185028E+01,-1.844211006E+01,-4.845074768E+00, 2.473071239E+01, 1.655650617E-02
        52, 1.060077071E+00,-1.842178726E+01,-2.197322196E+00, 2.451026669E+01,-9.993715512E-02
        53,-5.929559708E+00,-1.841862106E+01, 7.833171555E+00, 2.408974383E+01,-6.173461086E-02
        54, 2.185309792E+01,-1.841635323E+01,-7.815210739E+00, 2.481030743E+01, 2.144993070E-02
        55, 2.477992058E+01,-1.841446114E+01,-6.392574336E+00, 2.476908813E+01, 1.929804839E-02
        56,-7.270661831E+00,-1.839252853E+01, 8.950519422E+00, 2.404227774E+01,-4.350579684E-02
        57, 9.334493637E+00,-1.837192345E+01,-1.068056957E+01, 2.487073852E+01,-3.017159585E-02
        58, 1.189736176E+01,-1.834807396E+01,-1.116508652E+01, 2.489773918E+01,-7.796613544E-03
        59, 3.491258621E+01,-1.833026505E+01,-1.977199001E+00, 2.467110917E+01, 1.226672401E-02
        60, 1.358120537E+01,-1.832011414E+01,-1.101759720E+01, 2.490138383E+01, 4.136323033E-03
        61, 2.961786652E+01,-1.826012993E+01,-4.147694765E+00, 2.471559491E+01, 1.624229310E-02
        62, 7.685947418E+00,-1.825920105E+01,-9.900566915E+00, 2.483879724E+01,-5.100958218E-02
        63,-1.000000000E+01,-1.814569283E+01, 1.007072527E+01, 2.400000000E+01, 0.000000000E+00
        64, 3.750472260E+01,-1.811868095E+01,-9.667844878E-01, 2.465732088E+01, 1.124610232E-02
        65, 2.631773186E+01,-1.806191635E+01,-5.642087477E+00, 2.475713403E+01, 2.308927695E-02
        66,-4.570134640E+00,-1.802813339E+01, 6.382292973E+00, 2.416194325E+01,-1.017972531E-01
        67, 4.000000000E+01,-1.800000000E+01, 0.000000000E+00, 2.464544743E+01, 1.082602626E-02
        68, 1.532883930E+01,-1.764900589E+01,-1.066989961E+01, 2.490896362E+01, 1.802918502E-02
        69, 3.223038101E+01,-1.763749695E+01,-3.036039904E+00, 2.470574377E+01, 2.014495914E-02
        70,-3.335702181E+00,-1.753531075E+01, 4.836204886E+00, 2.424078313E+01,-1.468364035E-01
        71, 1.060112476E+01,-1.750579643E+01,-1.129798425E+01, 2.491656847E+01,-2.735228570E-02
        72, 5.794167042E+00,-1.749589157E+01,-8.655680089E+00, 2.479933309E+01,-1.020836660E-01
        73,-5.491465330E-01,-1.746159554E+01, 2.853434673E-01, 2.442601857E+01,-1.679782398E-01
        74, 2.345230675E+01,-1.741854668E+01,-7.030795012E+00, 2.481034171E+01, 3.514902504E-02
