nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1,-1.000000000E+01,-2.000000000E+01, 7.556972520E+00, 1.700000000E+01, 0.000000000E+00
         2,-8.275861740E+00,-2.000000000E+01, 7.328701179E+00, 1.701575361E+01, 0.000000000E+00
         3,-6.551723957E+00,-2.000000000E+01, 6.779473166E+00, 1.704567506E+01, 0.000000000E+00
         4,-4.827586174E+00,-2.000000000E+01, 5.813164035E+00, 1.710444047E+01, 0.000000000E+00
         5,-3.103448391E+00,-2.000000000E+01, 4.658664129E+00, 1.717638952E+01, 0.000000000E+00
         6,-1.379310369E+00,-2.000000000E+01, 3.221522109E+00, 1.725769500E+01, 0.000000000E+00
         7, 3.448275924E-01,-2.000000000E+01, 1.785114172E+00, 1.734705142E+01, 0.000000000E+00
         8, 2.068965435E+00,-2.000000000E+01, 2.808921169E-01, 1.743663265E+01, 0.000000000E+00
         9, 3.793103456E+00,-2.000000000E+01,-1.093155113E+00, 1.751743408E+01, 0.000000000E+00
        10, 5.517241478E+00,-2.000000000E+01,-2.260638868E+00, 1.758570841E+01, 0.000000000E+00
        11, 7.241379261E+00,-2.000000000E+01,-3.163773829E+00, 1.764326509E+01, 0.000000000E+00
        12, 8.965517044E+00,-2.000000000E+01,-3.846678043E+00, 1.769057442E+01, 0.000000000E+00
        13, 1.068965530E+01,-2.000000000E+01,-4.326619981E+00, 1.772095747E+01, 0.000000000E+00
        14, 1.241379356E+01,-2.000000000E+01,-4.606083067E+00, 1.774245796E+01, 0.000000000E+00
        15, 1.413793087E+01,-2.000000000E+01,-4.694458168E+00, 1.775593411E+01, 0.000000000E+00
        16, 1.586206913E+01,-2.000000000E+01,-4.626528281E+00, 1.775740701E+01, 0.000000000E+00
        17, 1.758620644E+01,-2.000000000E+01,-4.472224644E+00, 1.775607882E+01, 0.000000000E+00
        18, 1.931034470E+01,-2.000000000E+01,-4.219616882E+00, 1.774976007E+01, 0.000000000E+00
        19, 2.103448296E+01,-2.000000000E+01,-3.919494994E+00, 1.774140750E+01, 0.000000000E+00
        20, 2.275862122E+01,-2.000000000E+01,-3.583934095E+00, 1.773030988E+01, 0.000000000E+00
        21, 2.448275948E+01,-2.000000000E+01,-3.215727507E+00, 1.771799572E+01, 0.000000000E+00
        22, 2.620689583E+01,-2.000000000E+01,-2.835638469E+00, 1.770711847E+01, 0.000000000E+00
        23, 2.793103409E+01,-2.000000000E+01,-2.493705344E+00, 1.769889226E+01, 0.000000000E+00
        24, 2.965517235E+01,-2.000000000E+01,-2.089686433E+00, 1.769013766E+01, 0.000000000E+00
        25, 3.137931061E+01,-2.000000000E+01,-1.714339541E+00, 1.767814051E+01, 0.000000000E+00
        26, 3.310344696E+01,-2.000000000E+01,-1.401442102E+00, 1.766957182E+01, 0.000000000E+00
        27, 3.482758713E+01,-2.000000000E+01,-1.018800589E+00, 1.766129907E+01, 0.000000000E+00
        28, 3.655172348E+01,-2.000000000E+01,-6.855861173E-01, 1.765309368E+01, 0.000000000E+00
        29, 3.827586365E+01,-2.000000000E+01,-3.658408207E-01, 1.764587422E+01, 0.000000000E+00
        30, 4.000000000E+01,-2.000000000E+01,-9.366128499E-02, 1.764137511E+01, 0.000000000E+00
        31, 2.688087654E+01,-1.912092590E+01,-2.689180636E+00, 1.770824034E+01, 5.584316862E-03
        32, 2.570874596E+01,-1.911762238E+01,-2.939214943E+00, 1.771537462E+01, 5.646685584E-03
        33, 1.065971851E+01,-1.905763054E+01,-4.392551479E+00, 1.772910113E+01,-1.427752459E-02
        34, 3.223234940E+01,-1.902348328E+01,-1.549503933E+00, 1.767870830E+01, 5.190203809E-03
        35, 3.632635117E+01,-1.898240852E+01,-7.278912946E-01, 1.765909160E+01, 4.980380766E-03
        36,-8.439105034E+00,-1.896893883E+01, 7.484156675E+00, 1.701301555E+01,-1.278153456E-02
        37, 1.504807377E+01,-1.896084785E+01,-4.703545239E+00, 1.776372956E+01,-1.905768535E-03
        38, 6.240347862E+00,-1.892391968E+01,-2.739797145E+00, 1.762290076E+01,-3.728062296E-02
        39,-5.172211528E-01,-1.886991882E+01, 2.489316770E+00, 1.731228008E+01,-5.995994232E-02
        40, 2.344727135E+01,-1.886930466E+01,-3.453414504E+00, 1.773341309E+01, 6.732741582E-03
        41,-3.581001759E+00,-1.882642365E+01, 5.076877437E+00, 1.716093184E+01,-5.229577864E-02
        42, 1.655527496E+01,-1.881643867E+01,-4.606520148E+00, 1.776667976E+01, 1.338528404E-03
        43, 4.681884766E+00,-1.873410606E+01,-1.790668346E+00, 1.756723526E+01,-5.209165755E-02
        44, 3.091585732E+01,-1.869906235E+01,-1.812077514E+00, 1.768979504E+01, 7.012770274E-03
        45, 1.824869728E+01,-1.866976166E+01,-4.402847352E+00, 1.776525570E+01, 4.329307323E-03
        46, 3.888160324E+01,-1.861947632E+01,-2.265222434E-01, 1.765118988E+01, 4.669338737E-03
        47, 2.963801861E+00,-1.861654663E+01,-5.139555597E-01, 1.749235585E+01,-6.483131664E-02
        48, 3.353791046E+01,-1.860749054E+01,-1.292772545E+00, 1.767768575E+01, 6.989811775E-03
        49, 1.998884201E+01,-1.860685921E+01,-4.128174826E+00, 1.775822276E+01, 6.639777008E-03
        50,-2.065884590E+00,-1.845661926E+01, 3.872255024E+00, 1.723790422E+01,-7.829742823E-02
        51, 2.809185028E+01,-1.844211006E+01,-2.435079581E+00, 1.771000769E+01, 9.188008526E-03
        52, 1.060077071E+00,-1.842178726E+01, 1.104842213E+00, 1.740018463E+01,-8.066064134E-02
        53,-5.929559708E+00,-1.841862106E+01, 6.668792019E+00, 1.706940717E+01,-4.787852964E-02
        54, 2.185309792E+01,-1.841635323E+01,-3.775063615E+00, 1.775049691E+01, 9.324516901E-03
        55, 2.477992058E+01,-1.841446114E+01,-3.155396837E+00, 1.773032352E+01, 9.750931616E-03
        56,-7.270661831E+00,-1.839252853E+01, 7.276867966E+00, 1.703270858E+01,-3.358596426E-02
        57, 9.334493637E+00,-1.837192345E+01,-4.128595330E+00, 1.771717227E+01,-3.404537052E-02
        58, 1.189736176E+01,-1.834807396E+01,-4.669626064E+00, 1.775660912E+01,-1.771255214E-02
        59, 3.491258621E+01,-1.833026505E+01,-1.010433676E+00, 1.767374958E+01, 8.126645392E-03
        60, 1.358120537E+01,-1.832011414E+01,-4.777801997E+00, 1.777109006E+01,-9.047675042E-03
        61, 2.961786652E+01,-1.826012993E+01,-2.098326414E+00, 1.770148015E+01, 9.352001753E-03
        62, 7.685947418E+00,-1.825920105E+01,-3.531294986E+00, 1.768163188E+01,-4.988324452E-02
        63,-1.000000000E+01,-1.814569283E+01, 7.884844577E+00, 1.700000000E+01, 0.000000000E+00
        64, 3.750472260E+01,-1.811868095E+01,-4.968287071E-01, 1.766514077E+01, 7.832207683E-03
        65, 2.631773186E+01,-1.806191635E+01,-2.810048567E+00, 1.772600554E+01, 1.236754086E-02
        66,-4.570134640E+00,-1.802813339E+01, 5.879805125E+00, 1.712506464E+01,-7.913096416E-02
        67, 4.000000000E+01,-1.800000000E+01, 0.000000000E+00, 1.765742608E+01, 7.836873245E-03
        68, 1.532883930E+01,-1.764900589E+01,-4.776907644E+00, 1.778931215E+01,-2.284043554E-03
        69, 3.223038101E+01,-1.763749695E+01,-1.550009904E+00, 1.769860934E+01, 1.264152545E-02
        70,-3.335702181E+00,-1.753531075E+01, 5.033917217E+00, 1.718599204E+01,-1.146271092E-01
        71, 1.060112476E+01,-1.750579643E+01,-4.599730852E+00, 1.776165797E+01,-3.859281695E-02
        72, 5.794167042E+00,-1.749589157E+01,-2.677433571E+00, 1.763992595E+01,-9.175804748E-02
        73,-5.491465330E-01,-1.746159554E+01, 2.517951233E+00, 1.733125117E+01,-1.333136999E-01
        74, 2.345230675E+01,-1.741854668E+01,-3.450417029E+00, 1.775821807E+01, 1.696747193E-02
        75, 1.710820961E+01,-1.739478683E+01,-4.622627875E+00, 1.779394899E+01, 5.472152262E-03
        76, 3.586927414E+01,-1.737919617E+01,-8.182422428E-01, 1.768612697E+01, 1.250344990E-02
        77, 2.050743866E+01,-1.728238678E+01,-4.070498532E+00, 1.778028307E+01, 1.546349188E-02
        78, 2.892562103E+01,-1.723182106E+01,-2.243487119E+00, 1.772562797E+01, 1.618416944E-02
        79, 1.894330597E+01,-1.720048714E+01,-4.357622967E+00, 1.779206112E+01, 1.275004381E-02
        80,-8.535434723E+00,-1.718964386E+01, 8.003088838E+00, 1.701271180E+01,-3.505233324E-02
        81, 4.019903183E+00,-1.718399429E+01,-1.543693751E+00, 1.757795365E+01,-1.239108016E-01
        82, 2.281647682E+00,-1.710684776E+01,-9.516795384E-02, 1.749451949E+01,-1.438000953E-01
        83,-6.843723774E+00,-1.706924057E+01, 7.459324319E+00, 1.704830003E+01,-7.472594421E-02
        84,-5.513527870E+00,-1.702182961E+01, 6.748098854E+00, 1.709194685E+01,-1.052780843E-01
        85, 3.862742996E+01,-1.697869873E+01,-2.729191536E-01, 1.768291294E+01, 1.327132075E-02
        86, 3.050083160E+01,-1.692765427E+01,-1.906257580E+00, 1.772494339E+01, 1.671328616E-02
        87, 8.276641369E-01,-1.689760399E+01, 1.207930383E+00, 1.742027171E+01,-1.627259690E-01
        88, 2.517262650E+01,-1.685734367E+01,-3.062132999E+00, 1.775902971E+01, 2.022294103E-02
        89, 1.223096466E+01,-1.685682487E+01,-4.919168518E+00, 1.780306059E+01,-2.899212075E-02
        90, 9.039078712E+00,-1.680150032E+01,-4.357815288E+00, 1.776088508E+01,-7.017095792E-02
        91, 3.392111588E+01,-1.665369987E+01,-1.200458155E+00, 1.771575435E+01, 1.693138793E-02
        92, 2.185999680E+01,-1.649678612E+01,-3.810464788E+00, 1.779471598E+01, 2.218537686E-02
        93,-1.000000000E+01,-1.644530678E+01, 8.553249442E+00, 1.700000000E+01, 0.000000000E+00
        94, 2.727237129E+01,-1.641903305E+01,-2.599085918E+00, 1.776071192E+01, 2.258604472E-02
        95, 3.707867432E+01,-1.635916901E+01,-5.731117229E-01, 1.770779524E+01, 1.674450767E-02
        96, 1.401509190E+01,-1.635777473E+01,-5.035780200E+00, 1.783323142E+01,-1.390863497E-02
        97,-2.165568352E+00,-1.626587486E+01, 4.182615644E+00, 1.726471152E+01,-1.925862508E-01
        98, 3.204809189E+01,-1.612836456E+01,-1.581304578E+00, 1.773927634E+01, 2.047180070E-02
        99,-4.295921803E+00,-1.609950066E+01, 6.186655354E+00, 1.715268128E+01,-1.700943056E-01
       100, 1.587814426E+01,-1.606014633E+01,-4.925173827E+00, 1.784451962E+01, 2.729626483E-03
       101, 7.089861870E+00,-1.603736115E+01,-3.816072741E+00, 1.775092028E+01,-1.211915937E-01
       102, 2.914363098E+01,-1.603624725E+01,-2.184570539E+00, 1.775979157E+01, 2.339009494E-02
       103, 4.000000000E+01,-1.600000000E+01, 0.000000000E+00, 1.771101341E+01, 1.734478345E-02
       104, 3.549877930E+01,-1.595256233E+01,-8.795398091E-01, 1.772748794E+01, 1.960388673E-02
       105, 1.780315018E+01,-1.585430908E+01,-4.645072058E+00, 1.784479581E+01, 1.508623817E-02
       106, 5.047057629E+00,-1.583676720E+01,-2.680899650E+00, 1.768561980E+01,-1.695000036E-01
       107,-2.640169263E-01,-1.581109047E+01, 2.257861020E+00, 1.739103437E+01,-2.298865375E-01
       108, 1.062003994E+01,-1.574740028E+01,-5.045534340E+00, 1.784236834E+01,-6.177277252E-02
       109,-9.002541542E+00,-1.571819878E+01, 8.841039041E+00, 1.700773508E+01,-3.927705000E-02
       110, 1.990511703E+01,-1.565426731E+01,-4.263081272E+00, 1.784251569E+01, 2.491047272E-02
       111, 2.364574432E+01,-1.560770702E+01,-3.414050212E+00, 1.781651325E+01, 2.965528957E-02
       112, 3.254953623E+00,-1.560695457E+01,-1.308882994E+00, 1.761308684E+01,-2.132996285E-01
       113,-7.711310387E+00,-1.560561275E+01, 8.538121038E+00, 1.703047346E+01,-8.875450799E-02
       114, 1.487985253E+00,-1.558443356E+01, 4.122877520E-01, 1.751107802E+01,-2.374061025E-01
       115, 2.553428459E+01,-1.557701874E+01,-2.985490307E+00, 1.780114877E+01, 2.956125798E-02
       116,-6.098520756E+00,-1.557444191E+01, 7.726404733E+00, 1.707935047E+01,-1.423921965E-01
       117, 3.830703354E+01,-1.492995071E+01,-3.248976380E-01, 1.776534423E+01, 2.233975421E-02
       118, 3.052979469E+01,-1.491071987E+01,-1.871077847E+00, 1.780275239E+01, 2.903096262E-02
       119, 8.903004646E+00,-1.488731956E+01,-5.004303005E+00, 1.787623398E+01,-1.100671832E-01
       120,-1.000000000E+01,-1.488442135E+01, 9.501251216E+00, 1.700000000E+01, 0.000000000E+00
       121, 2.174546814E+01,-1.481751728E+01,-3.885689562E+00, 1.787074766E+01, 3.468980666E-02
       122, 1.256984711E+01,-1.479899025E+01,-5.473256509E+00, 1.792159207E+01,-3.619500372E-02
       123, 3.460909271E+01,-1.477172852E+01,-1.038933649E+00, 1.779109802E+01, 2.575850495E-02
       124, 2.848279953E+01,-1.469380188E+01,-2.310795714E+00, 1.782661865E+01, 3.292407449E-02
       125, 3.635147476E+01,-1.466023731E+01,-6.984336698E-01, 1.778715474E+01, 2.519865674E-02
       126, 1.471838474E+01,-1.464467716E+01,-5.343033807E+00, 1.792978059E+01,-4.502748021E-03
       127, 5.886748791E+00,-1.459036255E+01,-3.818936428E+00, 1.781158284E+01,-2.010156305E-01
       128, 3.274271774E+01,-1.456559944E+01,-1.414480033E+00, 1.781255146E+01, 2.827870742E-02
       129, 2.667328453E+01,-1.454139996E+01,-2.723453461E+00, 1.784825612E+01, 3.636672568E-02
       130,-8.747936249E+00,-1.447581673E+01, 9.675980971E+00, 1.700997849E+01,-6.523015015E-02
       131, 1.662483215E+01,-1.444733810E+01,-5.063221450E+00, 1.793292772E+01, 1.576806916E-02
       132,-1.309995294E+00,-1.435149384E+01, 3.527840299E+00, 1.738441036E+01,-3.247316978E-01
       133,-3.269309044E+00,-1.429653835E+01, 5.924604841E+00, 1.724742309E+01,-2.952273645E-01
       134, 1.846081734E+01,-1.427286053E+01,-4.687580277E+00, 1.793036550E+01, 2.918613889E-02
       135, 2.491891479E+01,-1.424373531E+01,-3.121197575E+00, 1.787906520E+01, 4.046193800E-02
       136, 4.908416569E-01,-1.419553089E+01, 1.296013918E+00, 1.752452815E+01,-3.372337508E-01
       137, 2.325344801E+00,-1.406620598E+01,-8.790075893E-01, 1.766265759E+01,-3.230274045E-01
       138,-5.158803463E+00,-1.406303883E+01, 7.962613989E+00, 1.713958689E+01,-2.462363995E-01
       139, 4.000000000E+01,-1.400000000E+01, 0.000000000E+00, 1.781635046E+01, 2.562943137E-02
       140, 4.263089657E+00,-1.398817444E+01,-2.944529524E+00, 1.779299606E+01,-2.782938437E-01
       141, 7.341863632E+00,-1.395359707E+01,-4.959643715E+00, 1.792242562E+01,-1.762989712E-01
       142,-7.187411785E+00,-1.388653660E+01, 9.579880467E+00, 1.705152139E+01,-1.585343229E-01
       143, 1.064319992E+01,-1.380979347E+01,-5.841589502E+00, 1.799379650E+01,-8.074527361E-02
       144, 2.023751450E+01,-1.378275204E+01,-4.303635098E+00, 1.795057698E+01, 4.029101145E-02
       145, 2.322151184E+01,-1.377607632E+01,-3.546523041E+00, 1.792565643E+01, 4.420292386E-02
