nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1,-1.000000000E+01,-2.000000000E+01, 1.007440053E+01, 2.800000000E+01, 0.000000000E+00
         2,-8.275861740E+00,-2.000000000E+01, 9.506543333E+00, 2.802355425E+01, 0.000000000E+00
         3,-6.551723957E+00,-2.000000000E+01, 8.146503682E+00, 2.806808046E+01, 0.000000000E+00
         4,-4.827586174E+00,-2.000000000E+01, 5.783903574E+00, 2.815401793E+01, 0.000000000E+00
         5,-3.103448391E+00,-2.000000000E+01, 2.990922505E+00, 2.825842877E+01, 0.000000000E+00
         6,-1.379310369E+00,-2.000000000E+01,-4.485986793E-01, 2.837551010E+01, 0.000000000E+00
         7, 3.448275924E-01,-2.000000000E+01,-3.854352979E+00, 2.850331067E+01, 0.000000000E+00
         8, 2.068965435E+00,-2.000000000E+01,-7.324634740E+00, 2.862840426E+01, 0.000000000E+00
         9, 3.793103456E+00,-2.000000000E+01,-1.038941068E+01, 2.873662076E+01, 0.000000000E+00
        10, 5.517241478E+00,-2.000000000E+01,-1.285849924E+01, 2.882292184E+01, 0.000000000E+00
        11, 7.241379261E+00,-2.000000000E+01,-1.461527582E+01, 2.889007548E+01, 0.000000000E+00
        12, 8.965517044E+00,-2.000000000E+01,-1.571712310E+01, 2.893812667E+01, 0.000000000E+00
        13, 1.068965530E+01,-2.000000000E+01,-1.629878953E+01, 2.896181126E+01, 0.000000000E+00
        14, 1.241379356E+01,-2.000000000E+01,-1.634625155E+01, 2.896876355E+01, 0.000000000E+00
        15, 1.413793087E+01,-2.000000000E+01,-1.590039890E+01, 2.895927021E+01, 0.000000000E+00
        16, 1.586206913E+01,-2.000000000E+01,-1.512950605E+01, 2.893649388E+01, 0.000000000E+00
        17, 1.758620644E+01,-2.000000000E+01,-1.414081498E+01, 2.891154770E+01, 0.000000000E+00
        18, 1.931034470E+01,-2.000000000E+01,-1.294812771E+01, 2.887947882E+01, 0.000000000E+00
        19, 2.103448296E+01,-2.000000000E+01,-1.175004423E+01, 2.884735712E+01, 0.000000000E+00
        20, 2.275862122E+01,-2.000000000E+01,-1.053138256E+01, 2.881333951E+01, 0.000000000E+00
        21, 2.448275948E+01,-2.000000000E+01,-9.283133522E+00, 2.877986785E+01, 0.000000000E+00
        22, 2.620689583E+01,-2.000000000E+01,-8.057761748E+00, 2.875188068E+01, 0.000000000E+00
        23, 2.793103409E+01,-2.000000000E+01,-6.984750721E+00, 2.872934027E+01, 0.000000000E+00
        24, 2.965517235E+01,-2.000000000E+01,-5.807703800E+00, 2.870782134E+01, 0.000000000E+00
        25, 3.137931061E+01,-2.000000000E+01,-4.727294060E+00, 2.868334984E+01, 0.000000000E+00
        26, 3.310344696E+01,-2.000000000E+01,-3.826399116E+00, 2.866544175E+01, 0.000000000E+00
        27, 3.482758713E+01,-2.000000000E+01,-2.782526232E+00, 2.864939431E+01, 0.000000000E+00
        28, 3.655172348E+01,-2.000000000E+01,-1.869399692E+00, 2.863455281E+01, 0.000000000E+00
        29, 3.827586365E+01,-2.000000000E+01,-9.848265465E-01, 2.862198623E+01, 0.000000000E+00
        30, 4.000000000E+01,-2.000000000E+01,-2.486481170E-01, 2.861461931E+01, 0.000000000E+00
        31, 2.688087654E+01,-1.912092590E+01,-7.600713353E+00, 2.874770866E+01, 1.365251098E-02
        32, 2.570874596E+01,-1.911762238E+01,-8.378931089E+00, 2.876598732E+01, 1.422100672E-02
        33, 1.065971851E+01,-1.905763054E+01,-1.646864524E+01, 2.897254437E+01,-7.705220314E-03
        34, 3.223234940E+01,-1.902348328E+01,-4.243107810E+00, 2.868091437E+01, 1.094085150E-02
        35, 3.632635117E+01,-1.898240852E+01,-1.978818113E+00, 2.864330430E+01, 9.041602569E-03
        36,-8.439105034E+00,-1.896893883E+01, 9.885229585E+00, 2.801917760E+01,-1.924658000E-02
        37, 1.504807377E+01,-1.896084785E+01,-1.558694085E+01, 2.895801064E+01, 1.270032544E-02
        38, 6.240347862E+00,-1.892391968E+01,-1.387268802E+01, 2.887153205E+01,-4.332184299E-02
        39,-5.172211528E-01,-1.886991882E+01,-2.206656514E+00, 2.845562694E+01,-8.570497885E-02
        40, 2.344727135E+01,-1.886930466E+01,-1.004892724E+01, 2.881120799E+01, 2.013130287E-02
        41,-3.581001759E+00,-1.882642365E+01, 3.994285492E+00, 2.823734053E+01,-7.622179695E-02
        42, 1.655527496E+01,-1.881643867E+01,-1.480566369E+01, 2.894017033E+01, 1.854995399E-02
        43, 4.681884766E+00,-1.873410606E+01,-1.194452222E+01, 2.880475266E+01,-6.608377559E-02
        44, 3.091585732E+01,-1.869906235E+01,-4.998172823E+00, 2.870138222E+01, 1.518518759E-02
        45, 1.824869728E+01,-1.866976166E+01,-1.373085118E+01, 2.891501085E+01, 2.375055631E-02
        46, 3.888160324E+01,-1.861947632E+01,-6.116539560E-01, 2.862857311E+01, 7.719827889E-03
        47, 2.963801861E+00,-1.861654663E+01,-9.168924944E+00, 2.870733707E+01,-8.708106133E-02
        48, 3.353791046E+01,-1.860749054E+01,-3.527797557E+00, 2.867560663E+01, 1.380566776E-02
        49, 1.998884201E+01,-1.860685921E+01,-1.252000842E+01, 2.888308870E+01, 2.635008855E-02
        50,-2.065884590E+00,-1.845661926E+01, 1.082003569E+00, 2.834971562E+01,-1.132864571E-01
        51, 2.809185028E+01,-1.844211006E+01,-6.803466172E+00, 2.874331743E+01, 2.214965309E-02
        52, 1.060077071E+00,-1.842178726E+01,-5.478203224E+00, 2.858152820E+01,-1.128778226E-01
        53,-5.929559708E+00,-1.841862106E+01, 7.872579150E+00, 2.810265501E+01,-7.058240357E-02
        54, 2.185309792E+01,-1.841635323E+01,-1.116874624E+01, 2.885132804E+01, 3.018404197E-02
        55, 2.477992058E+01,-1.841446114E+01,-9.044902432E+00, 2.879495053E+01, 2.664879334E-02
        56,-7.270661831E+00,-1.839252853E+01, 9.367419726E+00, 2.804834677E+01,-4.981309876E-02
