nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1,-1.000000000E+01,-2.000000000E+01, 3.692406684E+00, 7.500000000E+00, 0.000000000E+00
         2,-8.275861740E+00,-2.000000000E+01, 3.624822738E+00, 7.510749545E+00, 0.000000000E+00
         3,-6.551723957E+00,-2.000000000E+01, 3.457818008E+00, 7.532362274E+00, 0.000000000E+00
         4,-4.827586174E+00,-2.000000000E+01, 3.152640890E+00, 7.576052717E+00, 0.000000000E+00
         5,-3.103448391E+00,-2.000000000E+01, 2.777438416E+00, 7.630490436E+00, 0.000000000E+00
         6,-1.379310369E+00,-2.000000000E+01, 2.298542100E+00, 7.692782259E+00, 0.000000000E+00
         7, 3.448275924E-01,-2.000000000E+01, 1.809649113E+00, 7.761853969E+00, 0.000000000E+00
         8, 2.068965435E+00,-2.000000000E+01, 1.271724281E+00, 7.833765079E+00, 0.000000000E+00
         9, 3.793103456E+00,-2.000000000E+01, 7.559034295E-01, 7.902656156E+00, 0.000000000E+00
        10, 5.517241478E+00,-2.000000000E+01, 2.893836441E-01, 7.964510099E+00, 0.000000000E+00
        11, 7.241379261E+00,-2.000000000E+01,-1.029456668E-01, 8.020078208E+00, 0.000000000E+00
        12, 8.965517044E+00,-2.000000000E+01,-4.532335852E-01, 8.071881204E+00, 0.000000000E+00
        13, 1.068965530E+01,-2.000000000E+01,-7.250974915E-01, 8.109365588E+00, 0.000000000E+00
        14, 1.241379356E+01,-2.000000000E+01,-9.220440144E-01, 8.139477552E+00, 0.000000000E+00
        15, 1.413793087E+01,-2.000000000E+01,-1.067159372E+00, 8.165565117E+00, 0.000000000E+00
        16, 1.586206913E+01,-2.000000000E+01,-1.140073955E+00, 8.180221738E+00, 0.000000000E+00
        17, 1.758620644E+01,-2.000000000E+01,-1.171445458E+00, 8.191751747E+00, 0.000000000E+00
        18, 1.931034470E+01,-2.000000000E+01,-1.157614633E+00, 8.198337976E+00, 0.000000000E+00
        19, 2.103448296E+01,-2.000000000E+01,-1.121273236E+00, 8.201172260E+00, 0.000000000E+00
        20, 2.275862122E+01,-2.000000000E+01,-1.060430318E+00, 8.199960385E+00, 0.000000000E+00
        21, 2.448275948E+01,-2.000000000E+01,-9.731292022E-01, 8.196379249E+00, 0.000000000E+00
        22, 2.620689583E+01,-2.000000000E+01,-8.730212656E-01, 8.192690385E+00, 0.000000000E+00
        23, 2.793103409E+01,-2.000000000E+01,-7.752216046E-01, 8.190003382E+00, 0.000000000E+00
        24, 2.965517235E+01,-2.000000000E+01,-6.577775256E-01, 8.185757291E+00, 0.000000000E+00
        25, 3.137931061E+01,-2.000000000E+01,-5.450939165E-01, 8.178774664E+00, 0.000000000E+00
        26, 3.310344696E+01,-2.000000000E+01,-4.475668392E-01, 8.173925080E+00, 0.000000000E+00
        27, 3.482758713E+01,-2.000000000E+01,-3.259581731E-01, 8.168953907E+00, 0.000000000E+00
        28, 3.655172348E+01,-2.000000000E+01,-2.207396650E-01, 8.163875308E+00, 0.000000000E+00
        29, 3.827586365E+01,-2.000000000E+01,-1.203973881E-01, 8.159268647E+00, 0.000000000E+00
        30, 4.000000000E+01,-2.000000000E+01,-3.186256337E-02, 8.156246667E+00, 0.000000000E+00
        31, 2.688087654E+01,-1.912092590E+01,-8.322495598E-01, 8.195228029E+00, 2.264039975E-03
        32, 2.570874596E+01,-1.911762238E+01,-9.036765250E-01, 8.197950520E+00, 1.979536538E-03
        33, 1.065971851E+01,-1.905763054E+01,-7.415278350E-01, 8.115229516E+00,-1.925755021E-02
        34, 3.223234940E+01,-1.902348328E+01,-4.939916008E-01, 8.180517836E+00, 2.976077379E-03
        35, 3.632635117E+01,-1.898240852E+01,-2.339903840E-01, 8.168862601E+00, 3.036456683E-03
        36,-8.439105034E+00,-1.896893883E+01, 3.673329888E+00, 7.509366274E+00,-8.888354204E-03
