nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1,-1.000000000E+01,-2.000000000E+01, 1.902394402E+00, 4.500000000E+00, 0.000000000E+00
         2,-8.275861740E+00,-2.000000000E+01, 1.872783069E+00, 4.508001882E+00, 0.000000000E+00
         3,-6.551723957E+00,-2.000000000E+01, 1.797292865E+00, 4.525335808E+00, 0.000000000E+00
         4,-4.827586174E+00,-2.000000000E+01, 1.655389458E+00, 4.560485470E+00, 0.000000000E+00
         5,-3.103448391E+00,-2.000000000E+01, 1.478125671E+00, 4.604312186E+00, 0.000000000E+00
         6,-1.379310369E+00,-2.000000000E+01, 1.251143785E+00, 4.653987259E+00, 0.000000000E+00
         7, 3.448275924E-01,-2.000000000E+01, 1.019427706E+00, 4.708510623E+00, 0.000000000E+00
         8, 2.068965435E+00,-2.000000000E+01, 7.622240868E-01, 4.765492896E+00, 0.000000000E+00
         9, 3.793103456E+00,-2.000000000E+01, 5.150722790E-01, 4.820687102E+00, 0.000000000E+00
        10, 5.517241478E+00,-2.000000000E+01, 2.903880513E-01, 4.870466522E+00, 0.000000000E+00
        11, 7.241379261E+00,-2.000000000E+01, 9.920620509E-02, 4.915389828E+00, 0.000000000E+00
        12, 8.965517044E+00,-2.000000000E+01,-7.445752412E-02, 4.957978701E+00, 0.000000000E+00
        13, 1.068965530E+01,-2.000000000E+01,-2.104179805E-01, 4.989306525E+00, 0.000000000E+00
        14, 1.241379356E+01,-2.000000000E+01,-3.100242903E-01, 5.014799705E+00, 0.000000000E+00
        15, 1.413793087E+01,-2.000000000E+01,-3.863317562E-01, 5.037420911E+00, 0.000000000E+00
        16, 1.586206913E+01,-2.000000000E+01,-4.278070928E-01, 5.051148652E+00, 0.000000000E+00
        17, 1.758620644E+01,-2.000000000E+01,-4.494571496E-01, 5.062702657E+00, 0.000000000E+00
        18, 1.931034470E+01,-2.000000000E+01,-4.511653561E-01, 5.070609200E+00, 0.000000000E+00
        19, 2.103448296E+01,-2.000000000E+01,-4.414076277E-01, 5.076062571E+00, 0.000000000E+00
        20, 2.275862122E+01,-2.000000000E+01,-4.210535725E-01, 5.078753157E+00, 0.000000000E+00
        21, 2.448275948E+01,-2.000000000E+01,-3.890095726E-01, 5.079697369E+00, 0.000000000E+00
        22, 2.620689583E+01,-2.000000000E+01,-3.484157969E-01, 5.080403949E+00, 0.000000000E+00
        23, 2.793103409E+01,-2.000000000E+01,-3.070070840E-01, 5.081449179E+00, 0.000000000E+00
        24, 2.965517235E+01,-2.000000000E+01,-2.619249347E-01, 5.081957678E+00, 0.000000000E+00
        25, 3.137931061E+01,-2.000000000E+01,-2.174472018E-01, 5.081069628E+00, 0.000000000E+00
