nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1,-1.000000000E+01,-2.000000000E+01, 7.923632189E+00, 3.800000000E+01, 0.000000000E+00
         2,-8.275861740E+00,-2.000000000E+01, 6.888057940E+00, 3.803146677E+01, 0.000000000E+00
         3,-6.551723957E+00,-2.000000000E+01, 4.407263296E+00, 3.809116059E+01, 0.000000000E+00
         4,-4.827586174E+00,-2.000000000E+01, 1.163501100E-01, 3.820537317E+01, 0.000000000E+00
         5,-3.103448391E+00,-2.000000000E+01,-4.937499295E+00, 3.834380968E+01, 0.000000000E+00
         6,-1.379310369E+00,-2.000000000E+01,-1.114325133E+01, 3.849875782E+01, 0.000000000E+00
         7, 3.448275924E-01,-2.000000000E+01,-1.727164550E+01, 3.866753187E+01, 0.000000000E+00
         8, 2.068965435E+00,-2.000000000E+01,-2.344403395E+01, 3.883095960E+01, 0.000000000E+00
         9, 3.793103456E+00,-2.000000000E+01,-2.880617186E+01, 3.896938340E+01, 0.000000000E+00
        10, 5.517241478E+00,-2.000000000E+01,-3.299252858E+01, 3.907580890E+01, 0.000000000E+00
        11, 7.241379261E+00,-2.000000000E+01,-3.579414817E+01, 3.915346386E+01, 0.000000000E+00
        12, 8.965517044E+00,-2.000000000E+01,-3.725683622E+01, 3.919886183E+01, 0.000000000E+00
        13, 1.068965530E+01,-2.000000000E+01,-3.767921476E+01, 3.921352099E+01, 0.000000000E+00
        14, 1.241379356E+01,-2.000000000E+01,-3.704450151E+01, 3.920437525E+01, 0.000000000E+00
        15, 1.413793087E+01,-2.000000000E+01,-3.540459218E+01, 3.916532137E+01, 0.000000000E+00
        16, 1.586206913E+01,-2.000000000E+01,-3.318928289E+01, 3.910914107E+01, 0.000000000E+00
        17, 1.758620644E+01,-2.000000000E+01,-3.057264376E+01, 3.904986585E+01, 0.000000000E+00
        18, 1.931034470E+01,-2.000000000E+01,-2.759987415E+01, 3.898175920E+01, 0.000000000E+00
        19, 2.103448296E+01,-2.000000000E+01,-2.471278589E+01, 3.891585441E+01, 0.000000000E+00
        20, 2.275862122E+01,-2.000000000E+01,-2.178836144E+01, 3.884973468E+01, 0.000000000E+00
        21, 2.448275948E+01,-2.000000000E+01,-1.902364518E+01, 3.878455657E+01, 0.000000000E+00
        22, 2.620689583E+01,-2.000000000E+01,-1.635915060E+01, 3.872820841E+01, 0.000000000E+00
        23, 2.793103409E+01,-2.000000000E+01,-1.399041359E+01, 3.868242833E+01, 0.000000000E+00
        24, 2.965517235E+01,-2.000000000E+01,-1.154691844E+01, 3.863869950E+01, 0.000000000E+00
        25, 3.137931061E+01,-2.000000000E+01,-9.294448226E+00, 3.859407679E+01, 0.000000000E+00
        26, 3.310344696E+01,-2.000000000E+01,-7.432401811E+00, 3.856040524E+01, 0.000000000E+00
        27, 3.482758713E+01,-2.000000000E+01,-5.406214235E+00, 3.852893942E+01, 0.000000000E+00
        28, 3.655172348E+01,-2.000000000E+01,-3.642236277E+00, 3.850102749E+01, 0.000000000E+00
        29, 3.827586365E+01,-2.000000000E+01,-1.895537080E+00, 3.847778361E+01, 0.000000000E+00
        30, 4.000000000E+01,-2.000000000E+01,-4.721106534E-01, 3.846499584E+01, 0.000000000E+00
        31, 2.688087654E+01,-1.912092590E+01,-1.532036482E+01, 3.871332881E+01, 2.632374644E-02
        32, 2.570874596E+01,-1.911762238E+01,-1.705724375E+01, 3.874999776E+01, 2.820208959E-02
        33, 1.065971851E+01,-1.905763054E+01,-3.803178097E+01, 3.922783304E+01, 6.366794785E-04
        34, 3.223234940E+01,-1.902348328E+01,-8.289670226E+00, 3.858330950E+01, 2.074964446E-02
        35, 3.632635117E+01,-1.898240852E+01,-3.833977968E+00, 3.851328314E+01, 1.676262732E-02
        36,-8.439105034E+00,-1.896893883E+01, 7.571925962E+00, 3.802550677E+01,-2.587712281E-02
        37, 1.504807377E+01,-1.896084785E+01,-3.438045700E+01, 3.914799728E+01, 3.303405984E-02
        38, 6.240347862E+00,-1.892391968E+01,-3.471726944E+01, 3.913666044E+01,-5.001467047E-02
        39,-5.172211528E-01,-1.886991882E+01,-1.432070561E+01, 3.860561968E+01,-1.131698567E-01
        40, 2.344727135E+01,-1.886930466E+01,-2.067002777E+01, 3.883456956E+01, 4.096138351E-02
        41,-3.581001759E+00,-1.882642365E+01,-3.124649855E+00, 3.831647200E+01,-1.012949291E-01
        42, 1.655527496E+01,-1.881643867E+01,-3.225790228E+01, 3.910149062E+01, 4.264660186E-02
        43, 4.681884766E+00,-1.873410606E+01,-3.152938332E+01, 3.905725644E+01,-8.167950307E-02
        44, 3.091585732E+01,-1.869906235E+01,-9.850437794E+00, 3.861897751E+01, 2.870367365E-02
        45, 1.824869728E+01,-1.866976166E+01,-2.949798218E+01, 3.904236934E+01, 5.133635315E-02
        46, 3.888160324E+01,-1.861947632E+01,-1.174872091E+00, 3.848403239E+01, 1.489400050E-02
        47, 2.963801861E+00,-1.861654663E+01,-2.673840257E+01, 3.893464470E+01,-1.115940348E-01
        48, 3.353791046E+01,-1.860749054E+01,-6.833033703E+00, 3.856866248E+01, 2.656659500E-02
        49, 1.998884201E+01,-1.860685921E+01,-2.650999189E+01, 3.897469456E+01, 5.452088087E-02
        50,-2.065884590E+00,-1.845661926E+01,-8.396274424E+00, 3.846592283E+01,-1.502287941E-01
        51, 2.809185028E+01,-1.844211006E+01,-1.359096425E+01, 3.869648496E+01, 4.314708334E-02
        52, 1.060077071E+00,-1.842178726E+01,-2.020358046E+01, 3.877193386E+01,-1.477352346E-01
        53,-5.929559708E+00,-1.841862106E+01, 3.908584357E+00, 3.813689750E+01,-9.407164734E-02
        54, 2.185309792E+01,-1.841635323E+01,-2.329453918E+01, 3.890697093E+01, 6.064100982E-02
        55, 2.477992058E+01,-1.841446114E+01,-1.845366837E+01, 3.879702104E+01, 5.362897727E-02
        56,-7.270661831E+00,-1.839252853E+01, 6.624822060E+00, 3.806446004E+01,-6.652236886E-02
        57, 9.334493637E+00,-1.837192345E+01,-3.824436028E+01, 3.924637782E+01,-2.091855987E-02
        58, 1.189736176E+01,-1.834807396E+01,-3.794366388E+01, 3.924052165E+01, 1.986332960E-02
        59, 3.491258621E+01,-1.833026505E+01,-5.324175388E+00, 3.855056447E+01, 2.884568115E-02
        60, 1.358120537E+01,-1.832011414E+01,-3.642326695E+01, 3.921301836E+01, 4.129375740E-02
        61, 2.961786652E+01,-1.826012993E+01,-1.150468883E+01, 3.865765461E+01, 4.185803410E-02
        62, 7.685947418E+00,-1.825920105E+01,-3.720497065E+01, 3.922290222E+01,-5.505222131E-02
        63,-1.000000000E+01,-1.814569283E+01, 9.353566301E+00, 3.800000000E+01, 0.000000000E+00
        64, 3.750472260E+01,-1.811868095E+01,-2.584659434E+00, 3.851675944E+01, 2.485457915E-02
        65, 2.631773186E+01,-1.806191635E+01,-1.606200895E+01, 3.875720165E+01, 6.029445587E-02
        66,-4.570134640E+00,-1.802813339E+01, 3.757419755E-01, 3.824749982E+01,-1.549752271E-01
