nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1,-1.000000000E+01,-2.000000000E+01, 7.592792571E+00, 3.850000000E+01, 0.000000000E+00
         2,-8.275861740E+00,-2.000000000E+01, 6.529757659E+00, 3.853187624E+01, 0.000000000E+00
         3,-6.551723957E+00,-2.000000000E+01, 3.983127324E+00, 3.859234560E+01, 0.000000000E+00
         4,-4.827586174E+00,-2.000000000E+01,-4.210536687E-01, 3.870800795E+01, 0.000000000E+00
         5,-3.103448391E+00,-2.000000000E+01,-5.607639464E+00, 3.884818529E+01, 0.000000000E+00
         6,-1.379310369E+00,-2.000000000E+01,-1.197567256E+01, 3.900506950E+01, 0.000000000E+00
         7, 3.448275924E-01,-2.000000000E+01,-1.826397550E+01, 3.917594097E+01, 0.000000000E+00
         8, 2.068965435E+00,-2.000000000E+01,-2.459469351E+01, 3.934132146E+01, 0.000000000E+00
         9, 3.793103456E+00,-2.000000000E+01,-3.009075209E+01, 3.948126272E+01, 0.000000000E+00
        10, 5.517241478E+00,-2.000000000E+01,-3.437580740E+01, 3.958864279E+01, 0.000000000E+00
        11, 7.241379261E+00,-2.000000000E+01,-3.723422961E+01, 3.966669331E+01, 0.000000000E+00
        12, 8.965517044E+00,-2.000000000E+01,-3.871663775E+01, 3.971045738E+01, 0.000000000E+00
        13, 1.068965530E+01,-2.000000000E+01,-3.912643211E+01, 3.972330734E+01, 0.000000000E+00
        14, 1.241379356E+01,-2.000000000E+01,-3.842911552E+01, 3.971408211E+01, 0.000000000E+00
        15, 1.413793087E+01,-2.000000000E+01,-3.669653868E+01, 3.967404944E+01, 0.000000000E+00
        16, 1.586206913E+01,-2.000000000E+01,-3.438470892E+01, 3.961591153E+01, 0.000000000E+00
        17, 1.758620644E+01,-2.000000000E+01,-3.165846436E+01, 3.955457604E+01, 0.000000000E+00
        18, 1.931034470E+01,-2.000000000E+01,-2.856388696E+01, 3.948416649E+01, 0.000000000E+00
        19, 2.103448296E+01,-2.000000000E+01,-2.556045932E+01, 3.941604803E+01, 0.000000000E+00
        20, 2.275862122E+01,-2.000000000E+01,-2.252097262E+01, 3.934778255E+01, 0.000000000E+00
        21, 2.448275948E+01,-2.000000000E+01,-1.965576477E+01, 3.928039956E+01, 0.000000000E+00
        22, 2.620689583E+01,-2.000000000E+01,-1.689553329E+01, 3.922202484E+01, 0.000000000E+00
        23, 2.793103409E+01,-2.000000000E+01,-1.444369413E+01, 3.917453865E+01, 0.000000000E+00
        24, 2.965517235E+01,-2.000000000E+01,-1.191388349E+01, 3.912894792E+01, 0.000000000E+00
        25, 3.137931061E+01,-2.000000000E+01,-9.582590555E+00, 3.908262768E+01, 0.000000000E+00
        26, 3.310344696E+01,-2.000000000E+01,-7.661537152E+00, 3.904770532E+01, 0.000000000E+00
        27, 3.482758713E+01,-2.000000000E+01,-5.572630167E+00, 3.901485087E+01, 0.000000000E+00
        28, 3.655172348E+01,-2.000000000E+01,-3.754601623E+00, 3.898568235E+01, 0.000000000E+00
        29, 3.827586365E+01,-2.000000000E+01,-1.948931001E+00, 3.896143284E+01, 0.000000000E+00
        30, 4.000000000E+01,-2.000000000E+01,-4.826407575E-01, 3.894815169E+01, 0.000000000E+00
        31, 2.688087654E+01,-1.912092590E+01,-1.581872158E+01, 3.920633818E+01, 2.726227132E-02
        32, 2.570874596E+01,-1.911762238E+01,-1.761819859E+01, 3.924433075E+01, 2.920035339E-02
        33, 1.065971851E+01,-1.905763054E+01,-3.948535765E+01, 3.973985500E+01, 1.076729424E-03
        34, 3.223234940E+01,-1.902348328E+01,-8.547794015E+00, 3.907123952E+01, 2.154377262E-02
        35, 3.632635117E+01,-1.898240852E+01,-3.950727472E+00, 3.899817430E+01, 1.752261301E-02
        36,-8.439105034E+00,-1.896893883E+01, 7.231505141E+00, 3.852583385E+01,-2.622076151E-02
        37, 1.504807377E+01,-1.896084785E+01,-3.562799343E+01, 3.965601471E+01, 3.419799480E-02
        38, 6.240347862E+00,-1.892391968E+01,-3.614036382E+01, 3.965009900E+01,-5.032613029E-02
        39,-5.172211528E-01,-1.886991882E+01,-1.523643875E+01, 3.911329789E+01,-1.145806503E-01
        40, 2.344727135E+01,-1.886930466E+01,-2.135973122E+01, 3.933171616E+01, 4.238422491E-02
        41,-3.581001759E+00,-1.882642365E+01,-3.747251537E+00, 3.882052257E+01,-1.025830896E-01
        42, 1.655527496E+01,-1.881643867E+01,-3.341468633E+01, 3.960777009E+01, 4.413605327E-02
        43, 4.681884766E+00,-1.873410606E+01,-3.288168195E+01, 3.957012027E+01,-8.244936078E-02
        44, 3.091585732E+01,-1.869906235E+01,-1.015927555E+01, 3.910812573E+01, 2.973965735E-02
        45, 1.824869728E+01,-1.866976166E+01,-3.053845404E+01, 3.954645947E+01, 5.310882324E-02
        46, 3.888160324E+01,-1.861947632E+01,-1.208874343E+00, 3.896727081E+01, 1.581894354E-02
        47, 2.963801861E+00,-1.861654663E+01,-2.797397239E+01, 3.944626672E+01,-1.128366977E-01
        48, 3.353791046E+01,-1.860749054E+01,-7.042494977E+00, 3.905569655E+01, 2.770498063E-02
        49, 1.998884201E+01,-1.860685921E+01,-2.742823702E+01, 3.947643014E+01, 5.637636544E-02
        50,-2.065884590E+00,-1.845661926E+01,-9.157265859E+00, 3.897186904E+01,-1.521248459E-01
        51, 2.809185028E+01,-1.844211006E+01,-1.402866842E+01, 3.918850442E+01, 4.470457252E-02
        52, 1.060077071E+00,-1.842178726E+01,-2.127275171E+01, 3.928168172E+01,-1.495170402E-01
        53,-5.929559708E+00,-1.841862106E+01, 3.471397836E+00, 3.863865397E+01,-9.527893610E-02
        54, 2.185309792E+01,-1.841635323E+01,-2.408486266E+01, 3.940628934E+01, 6.270060336E-02
        55, 2.477992058E+01,-1.841446114E+01,-1.906300230E+01, 3.929262430E+01, 5.553460311E-02
        56,-7.270661831E+00,-1.839252853E+01, 6.259242571E+00, 3.856528942E+01,-6.738551570E-02
        57, 9.334493637E+00,-1.837192345E+01,-3.972851385E+01, 3.976033301E+01,-2.026324827E-02
        58, 1.189736176E+01,-1.834807396E+01,-3.935922767E+01, 3.975284703E+01, 2.104911752E-02
