nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1,-1.000000000E+01,-2.000000000E+01, 9.977616555E+00, 3.250000000E+01, 0.000000000E+00
         2,-8.275861740E+00,-2.000000000E+01, 9.218030790E+00, 3.252706956E+01, 0.000000000E+00
         3,-6.551723957E+00,-2.000000000E+01, 7.399099128E+00, 3.257829713E+01, 0.000000000E+00
         4,-4.827586174E+00,-2.000000000E+01, 4.247298396E+00, 3.267671065E+01, 0.000000000E+00
         5,-3.103448391E+00,-2.000000000E+01, 5.290628653E-01, 3.279611492E+01, 0.000000000E+00
         6,-1.379310369E+00,-2.000000000E+01,-4.042150819E+00, 3.292986175E+01, 0.000000000E+00
         7, 3.448275924E-01,-2.000000000E+01,-8.561721434E+00, 3.307568846E+01, 0.000000000E+00
         8, 2.068965435E+00,-2.000000000E+01,-1.313962667E+01, 3.321764081E+01, 0.000000000E+00
         9, 3.793103456E+00,-2.000000000E+01,-1.714938893E+01, 3.333915179E+01, 0.000000000E+00
        10, 5.517241478E+00,-2.000000000E+01,-2.033171739E+01, 3.343438998E+01, 0.000000000E+00
        11, 7.241379261E+00,-2.000000000E+01,-2.253406796E+01, 3.350639505E+01, 0.000000000E+00
        12, 8.965517044E+00,-2.000000000E+01,-2.380838102E+01, 3.355417784E+01, 0.000000000E+00
        13, 1.068965530E+01,-2.000000000E+01,-2.436159734E+01, 3.357465775E+01, 0.000000000E+00
        14, 1.241379356E+01,-2.000000000E+01,-2.418743976E+01, 3.357518736E+01, 0.000000000E+00
        15, 1.413793087E+01,-2.000000000E+01,-2.331928962E+01, 3.355406795E+01, 0.000000000E+00
        16, 1.586206913E+01,-2.000000000E+01,-2.201855157E+01, 3.351801577E+01, 0.000000000E+00
        17, 1.758620644E+01,-2.000000000E+01,-2.042563036E+01, 3.347942707E+01, 0.000000000E+00
        18, 1.931034470E+01,-2.000000000E+01,-1.857375115E+01, 3.343322063E+01, 0.000000000E+00
        19, 2.103448296E+01,-2.000000000E+01,-1.675061820E+01, 3.338792905E+01, 0.000000000E+00
        20, 2.275862122E+01,-2.000000000E+01,-1.489244902E+01, 3.334142837E+01, 0.000000000E+00
        21, 2.448275948E+01,-2.000000000E+01,-1.307095640E+01, 3.329573898E+01, 0.000000000E+00
        22, 2.620689583E+01,-2.000000000E+01,-1.130482522E+01, 3.325694352E+01, 0.000000000E+00
        23, 2.793103409E+01,-2.000000000E+01,-9.737794717E+00, 3.322570117E+01, 0.000000000E+00
        24, 2.965517235E+01,-2.000000000E+01,-8.074917068E+00, 3.319633621E+01, 0.000000000E+00
        25, 3.137931061E+01,-2.000000000E+01,-6.543170060E+00, 3.316471372E+01, 0.000000000E+00
        26, 3.310344696E+01,-2.000000000E+01,-5.268784692E+00, 3.314106893E+01, 0.000000000E+00
        27, 3.482758713E+01,-2.000000000E+01,-3.835186716E+00, 3.311975617E+01, 0.000000000E+00
        28, 3.655172348E+01,-2.000000000E+01,-2.576535365E+00, 3.310056532E+01, 0.000000000E+00
        29, 3.827586365E+01,-2.000000000E+01,-1.353010493E+00, 3.308455450E+01, 0.000000000E+00
        30, 4.000000000E+01,-2.000000000E+01,-3.422433084E-01, 3.307547213E+01, 0.000000000E+00
        31, 2.688087654E+01,-1.912092590E+01,-1.062767770E+01, 3.324884114E+01, 1.845469185E-02
        32, 2.570874596E+01,-1.911762238E+01,-1.176970289E+01, 3.327408256E+01, 1.958191337E-02
        33, 1.065971851E+01,-1.905763054E+01,-2.460024131E+01, 3.358646612E+01,-4.391977022E-03
        34, 3.223234940E+01,-1.902348328E+01,-5.854184637E+00, 3.315923659E+01, 1.452590554E-02
        35, 3.632635117E+01,-1.898240852E+01,-2.722657168E+00, 3.311074849E+01, 1.157391393E-02
        36,-8.439105034E+00,-1.896893883E+01, 9.721832551E+00, 3.252198615E+01,-2.217383375E-02
        37, 1.504807377E+01,-1.896084785E+01,-2.274695626E+01, 3.354624173E+01, 2.087561813E-02
        38, 6.240347862E+00,-1.892391968E+01,-2.164095036E+01, 3.348844586E+01,-4.639218836E-02
        39,-5.172211528E-01,-1.886991882E+01,-6.380603066E+00, 3.302176059E+01,-9.778009027E-02
        40, 2.344727135E+01,-1.886930466E+01,-1.417235579E+01, 3.333425087E+01, 2.823439370E-02
        41,-3.581001759E+00,-1.882642365E+01, 1.863505719E+00, 3.277229252E+01,-8.726411689E-02
        42, 1.655527496E+01,-1.881643867E+01,-2.146509348E+01, 3.351696312E+01, 2.805077887E-02
        43, 4.681884766E+00,-1.873410606E+01,-1.918443729E+01, 3.341598560E+01,-7.300059558E-02
        44, 3.091585732E+01,-1.869906235E+01,-6.925067990E+00, 3.318524546E+01, 2.018182888E-02
        45, 1.824869728E+01,-1.866976166E+01,-1.977193088E+01, 3.347848503E+01, 3.456668621E-02
        46, 3.888160324E+01,-1.861947632E+01,-8.407024926E-01, 3.309168524E+01, 9.707594429E-03
        47, 2.963801861E+00,-1.861654663E+01,-1.557758688E+01, 3.330742819E+01,-9.786229859E-02
        48, 3.353791046E+01,-1.860749054E+01,-4.854197141E+00, 3.315093543E+01, 1.820153536E-02
        49, 1.998884201E+01,-1.860685921E+01,-1.790236963E+01, 3.343255467E+01, 3.736269539E-02
        50,-2.065884590E+00,-1.845661926E+01,-2.013963814E+00, 3.290100339E+01,-1.295416216E-01
        51, 2.809185028E+01,-1.844211006E+01,-9.474862524E+00, 3.324002273E+01, 2.999069402E-02
        52, 1.060077071E+00,-1.842178726E+01,-1.072031037E+01, 3.316541670E+01,-1.281920481E-01
        53,-5.929559708E+00,-1.841862106E+01, 7.033058732E+00, 3.261780555E+01,-8.094332558E-02
        54, 2.185309792E+01,-1.841635323E+01,-1.585795595E+01, 3.338688553E+01, 4.197992592E-02
        55, 2.477992058E+01,-1.841446114E+01,-1.271172033E+01, 3.331000637E+01, 3.698368915E-02
        56,-7.270661831E+00,-1.839252853E+01, 9.028137199E+00, 3.255548336E+01,-5.718947626E-02
        57, 9.334493637E+00,-1.837192345E+01,-2.456988580E+01, 3.359447212E+01,-2.534430166E-02
        58, 1.189736176E+01,-1.834807396E+01,-2.473990133E+01, 3.360469535E+01, 7.261098257E-03
        59, 3.491258621E+01,-1.833026505E+01,-3.790923032E+00, 3.313902174E+01, 1.969119242E-02
        60, 1.358120537E+01,-1.832011414E+01,-2.395041825E+01, 3.359178112E+01, 2.414707983E-02
        61, 2.961786652E+01,-1.826012993E+01,-8.063745736E+00, 3.321332381E+01, 2.888776036E-02
        62, 7.685947418E+00,-1.825920105E+01,-2.359381819E+01, 3.356696195E+01,-5.401433456E-02
        63,-1.000000000E+01,-1.814569283E+01, 1.103155960E+01, 3.250000000E+01, 0.000000000E+00
        64, 3.750472260E+01,-1.811868095E+01,-1.843489778E+00, 3.311644643E+01, 1.701256558E-02
        65, 2.631773186E+01,-1.806191635E+01,-1.112933455E+01, 3.328408638E+01, 4.194516427E-02
        66,-4.570134640E+00,-1.802813339E+01, 4.439931065E+00, 3.271283899E+01,-1.333620860E-01
        67, 4.000000000E+01,-1.800000000E+01, 0.000000000E+00, 3.309783914E+01, 1.550650636E-02
        68, 1.532883930E+01,-1.764900589E+01,-2.275669572E+01, 3.358105654E+01, 4.963871920E-02
        69, 3.223038101E+01,-1.763749695E+01,-5.838314927E+00, 3.319046080E+01, 3.357945727E-02
        70,-3.335702181E+00,-1.753531075E+01, 1.686083700E+00, 3.281649392E+01,-1.920156560E-01
        71, 1.060112476E+01,-1.750579643E+01,-2.537103762E+01, 3.364346577E+01,-1.127239633E-02
        72, 5.794167042E+00,-1.749589157E+01,-2.177424732E+01, 3.352899351E+01,-1.193968331E-01
        73,-5.491465330E-01,-1.746159554E+01,-6.386248870E+00, 3.305821779E+01,-2.177411840E-01
        74, 2.345230675E+01,-1.741854668E+01,-1.405824844E+01, 3.337203937E+01, 6.616473841E-02
        75, 1.710820961E+01,-1.739478683E+01,-2.109556381E+01, 3.354814596E+01, 6.517008900E-02
        76, 3.586927414E+01,-1.737919617E+01,-3.043106778E+00, 3.315404072E+01, 2.885692788E-02
        77, 2.050743866E+01,-1.728238678E+01,-1.735957922E+01, 3.345631952E+01, 7.549335802E-02
